location,property_type,bedrooms,bathrooms,size_sqft,amenities,price_kes,listing_date,price_per_sqft,amenity_score,month
Kilimani,Apartment,2,2,1291.68,Parking (1),14800000,2026-02-17,11457.946240554935,1,2
Kilimani,Apartment,2,2,1130.22,Parking (1),9700000,2026-02-17,8582.399886747713,1,2
Kilimani,Apartment,2,2,1184.04,Parking (1),11800000,2026-02-17,9965.879531096924,1,2
Kilimani,Apartment,2,2,1216.33,Parking (1),12800000,2026-02-17,10523.459916305608,1,2
Kileleshwa,Apartment,2,2,1087.16,Parking (2),9210000,2026-02-17,8471.61411383789,1,2
Kileleshwa,Apartment,2,2,807.3,Parking (2),7150000,2026-02-17,8856.682769726249,1,2
Kileleshwa,Apartment,1,1,699.66,Parking (1),5110000,2026-02-17,7303.547437326702,1,2
Kilimani,Apartment,4,5,2475.72,Parking (2),26500000,2026-02-17,10703.956828720535,1,2
Kilimani,Apartment,5,6,2798.64,Parking (3),28200000,2026-02-17,10076.322785352886,1,2
Kilimani,Apartment,3,3,1399.32,Parking (1),15800000,2026-02-17,11291.198582168483,1,2
Riverside,Apartment,3,3,1872.94,Parking (2),21000000,2026-02-17,11212.318600702638,1,2
Westlands,Apartment,4,5,2271.2,Parking (3),27500000,2026-02-17,12108.13666784079,1,2
Riverside,Apartment,2,2,1227.1,Parking (1),13600000,2026-02-17,11083.041316926086,1,2
Riverside,Apartment,2,3,1388.56,Parking (1),15600000,2026-02-17,11234.660367575043,1,2
Westlands,Apartment,2,2,968.76,Parking (1),14000000,2026-02-17,14451.463726826047,1,2
Westlands,Apartment,1,1,688.9,Parking (1),8800000,2026-02-17,12773.987516330382,1,2
Westlands,Apartment,2,2,1162.51,Parking (2),10757000,2026-02-17,9253.253735451739,1,2
Westlands,Apartment,3,3,1668.42,Parking (2),21714000,2026-02-17,13014.708526629985,1,2
Westlands,Apartment,5,6,2863.22,Parking (4),35000000,2026-02-17,12223.999552950874,1,2
Westlands,Apartment,1,1,409.03,Parking (1),7749000,2026-02-17,18944.820673300248,1,2
Westlands,Apartment,2,2,882.65,Parking (1),12000000,2026-02-17,13595.422874298987,1,2
Riverside,Apartment,2,2,904.18,Parking (1),10000000,2026-02-17,11059.744741091376,1,2
Westlands,Apartment,3,4,1528.49,Parking (2),17500000,2026-02-17,11449.208041923728,1,2
Westlands,Apartment,1,1,731.95,Parking (1),7000000,2026-02-17,9563.494774233212,1,2
Westlands,Apartment,3,4,1668.42,Parking (2),24600000,2026-02-17,14744.48879778473,1,2
Westlands,Apartment,4,5,2292.73,Parking (2),31000000,2026-02-17,13520.99898374427,1,2
Riverside,Apartment,1,1,645.84,Parking (1),7200000,2026-02-17,11148.272017837235,1,2
Westlands,Apartment,1,1,624.31,Parking (1),8700000,2026-02-17,13935.384664669797,1,2
Westlands,Apartment,1,1,613.55,Parking (1),11236000,2026-02-17,18313.09591720316,1,2
Westlands,Apartment,1,1,613.55,Parking (1),6200000,2026-02-17,10105.125906609079,1,2
Westlands,Apartment,2,3,1151.75,Parking (1),12300000,2026-02-17,10679.400911656176,1,2
Westlands,Apartment,1,1,721.19,Parking (1),9000000,2026-02-17,12479.374367365048,1,2
Kilimani,Apartment,5,7,4789.98,Parking (3),62500000,2026-02-17,13048.071181925605,1,2
Kilimani,Apartment,5,6,3250.73,Parking (3),33500000,2026-02-17,10305.37756134776,1,2
Kilimani,Apartment,5,6,3864.28,Parking (3),52500000,2026-02-17,13585.972031012245,1,2
Kilimani,Apartment,4,5,2970.86,Parking (2),42500000,2026-02-17,14305.621941121426,1,2
Kilimani,Apartment,3,4,2174.33,Parking (2),22500000,2026-02-17,10348.01525067492,1,2
Westlands,Apartment,2,3,1184.04,Parking (1),13000000,2026-02-17,10979.358805445763,1,2
