location,property_type,bedrooms,bathrooms,size_sqft,amenities,price_kes,listing_date
Westlands,Apartment,3,4,1722.24,Parking (7),24400000,2026-02-20
Westlands,Apartment,3,4,1722.24,Parking (7),24400000,2026-02-20
Westlands,Apartment,3,4,1722.24,Parking (7),24400000,2026-02-20
Westlands,Apartment,3,4,1722.24,Parking (7),24400000,2026-02-20
Westlands,Apartment,3,4,1722.24,Parking (7),24400000,2026-02-20
Westlands,Apartment,3,4,1722.24,Parking (7),24400000,2026-02-20
Westlands,Apartment,3,4,1722.24,Parking (7),24400000,2026-02-20
Westlands,Apartment,3,4,1722.24,Parking (7),24400000,2026-02-20
Westlands,Apartment,3,4,1722.24,Parking (7),24400000,2026-02-20
Kileleshwa,Apartment,4,5,2906.28,Parking (2),25800000,2026-02-20
Westlands,Apartment,2,2,1227.1,Parking (1),13000000,2026-02-20
Westlands,Apartment,1,1,441.32,Parking (1),5800000,2026-02-20
Westlands,Apartment,1,1,753.48,Parking (1),8800000,2026-02-20
Westlands,Apartment,2,3,1410.08,Parking (1),15500000,2026-02-20
Westlands,Apartment,2,3,1410.08,Parking (1),15500000,2026-02-20
Westlands,Apartment,1,1,753.48,Parking (1),9200000,2026-02-20
Westlands,Apartment,1,1,721.19,Parking (1),9000000,2026-02-20
Kiambu Road,House,4,5,3229.2,Parking (5),35000000,2026-02-20
Runda,House,4,5,3229.2,Parking (5),35000000,2026-02-20
Runda,House,4,5,3229.2,Parking (5),35000000,2026-02-20
Runda,House,4,5,3229.2,Parking (5),35000000,2026-02-20
Runda,House,4,5,3229.2,Parking (5),35000000,2026-02-20
Kilimani,Apartment,2,2,1259.39,Parking (1),14700000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (7),6800000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (7),6800000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (6),6800000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (6),6800000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (6),6800000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (6),6800000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (6),6800000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (6),6800000,2026-02-20
Kileleshwa,Apartment,2,3,1184.04,Parking (1),9000000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (7),6800000,2026-02-20
Westlands,Apartment,2,2,1237.86,Parking (1),11700000,2026-02-20
Kilimani,Apartment,2,2,1259.39,Parking (1),14700000,2026-02-20
Lavington,House,5,6,4305.6,Parking (3),69000000,2026-02-20
Lavington,Townhouse,5,6,4305.6,Parking (3),69000000,2026-02-20
Kileleshwa,Apartment,5,6,3950.39,Parking (2),41000000,2026-02-20
Kileleshwa,Apartment,3,3,1463.9,Parking (2),12500000,2026-02-20
Westlands,Apartment,4,5,3788.93,Parking (3),32900000,2026-02-20
Riverside,Apartment,2,2,527.44,Parking (2),28000000,2026-02-20
Lavington,Townhouse,5,6,4843.8,Parking (3),70000000,2026-02-20
Kileleshwa,Apartment,2,3,1184.04,Parking (1),9000000,2026-02-20
Kiambu Road,House,4,5,3229.2,Parking (5),35000000,2026-02-20
